month,day,hour,value
2,21,1100,3
2,21,1200,2.1
2,21,1300,1.5
2,21,1400,1.6
2,21,1500,1.1
2,21,1600,0.8
2,21,1700,0.6
2,21,1800,0.6
2,21,1900,0.5
2,21,2000,0.5
2,21,2100,0.3
2,21,2200,0.6
2,21,2300,0.8
2,22,0,1.1
2,22,100,0.9
2,22,200,-50
2,22,300,1.8
2,22,400,2
2,22,500,2.4
2,22,600,2.5
2,22,700,2.5
2,22,800,1.7
2,22,900,1.2
2,22,1000,1.2
2,22,1100,1.6
2,22,1200,1.6
2,22,1300,1.3
2,22,1400,0.8
2,22,1500,0.8
2,22,1600,0.8
2,22,1700,0.5
2,22,1800,0.3
2,22,1900,0.3
2,22,2000,0.4
2,22,2100,0.4
2,22,2200,0.6
2,22,2300,1.3
2,23,0,2.3
2,23,100,3.5
2,23,200,4.9
2,23,300,5.1
2,23,400,5.3
2,23,500,5.5
2,23,600,5
2,23,700,5
2,23,800,4.9
2,23,900,4.5
2,23,1000,3.7
2,23,1100,3.4
2,23,1200,3
2,23,1300,2.9
2,23,1400,2.2
2,23,1500,2
2,23,1600,1.7
2,23,1700,1.7
2,23,1800,1.7
2,23,1900,0.9
2,23,2000,1.1
2,23,2100,1.6
2,23,2200,2
2,23,2300,3.5
2,24,0,4.3
2,24,100,5.7
2,24,200,5.7
2,24,300,6
2,24,400,6.3
2,24,500,5.7
2,24,600,5.5
2,24,700,5
2,24,800,4
2,24,900,2.6
2,24,1000,1.8
2,24,1100,1.4
2,24,1200,1.1
2,24,1300,0.9
2,24,1400,1
2,24,1500,0.9
2,24,1600,1.1
2,24,1700,1
2,24,1800,1.2
